順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員
1,博 多,鹿児島本線,"119,562",,51,長 者 原,篠 栗 線,"3,845",,101,八 代,鹿児島本線,"1,691"
2,小 倉,鹿児島本線,"32,073",,52,原 田,鹿児島本線,"3,508",,102,南 宮 崎,日 豊 本 線,"1,691"
3,鹿 児 島 中 央,鹿児島本線,"19,437",,53,基 山,鹿児島本線,"3,467",,103,鹿 児 島,鹿児島本線,"1,679"
4,大 分,日 豊 本 線,"16,949",,54,水 前 寺,豊 肥 本 線,"3,426",,104,加 治 木,日 豊 本 線,"1,670"
5,熊 本,鹿児島本線,"16,292",,55,佐 世 保,佐 世 保 線,"3,399",,105,松 橋,鹿児島本線,"1,633"
6,吉 塚,鹿児島本線,"14,867",,56,千 鳥,鹿児島本線,"3,302",,106,小波瀬西工大前,日 豊 本 線,"1,627"
7,折 尾,鹿児島本線,"13,983",,57,谷 山,指宿枕崎線,"3,241",,107,喜 々 津,長 崎 本 線,"1,622"
8,千 早,鹿児島本線,"13,559",,58,海 老 津,鹿児島本線,"3,207",,108,和 白,香 椎 線,"1,619"
9,香 椎,鹿児島本線,"13,470",,59,スペースワールド,鹿児島本線,"3,048",,109,原 町,篠 栗 線,"1,617"
10,黒 崎,鹿児島本線,"13,247",,60,直 方,筑 豊 本 線,"3,029",,110,隼 人,日 豊 本 線,"1,614"
11,佐 賀,長 崎 本 線,"11,722",,61,肥 後 大 津,豊 肥 本 線,"2,978",,111,桂 川,筑 豊 本 線,"1,614"
12,福 工 大 前,鹿児島本線,"10,922",,62,下 山 門,筑 肥 線,"2,798",,112,土 井,香 椎 線,"1,600"
13,南 福 岡,鹿児島本線,"9,711",,63,枝 光,鹿児島本線,"2,751",,113,高 城,日 豊 本 線,"1,583"
14,竹 下,鹿児島本線,"9,470",,64,上 熊 本,鹿児島本線,"2,717",,114,早 岐,佐 世 保 線,"1,568"
15,九大学研都市,筑 肥 線,"8,985",,65,羽 犬 塚,鹿児島本線,"2,688",,115,須 恵 中 央,香 椎 線,"1,556"
16,長 崎,長 崎 本 線,"8,863",,66,川 内,鹿児島本線,"2,676",,116,崇 城 大 学 前,鹿児島本線,"1,549"
17,福 間,鹿児島本線,"8,549",,67,国 分,日 豊 本 線,"2,629",,117,し し ぶ,鹿児島本線,"1,518"
18,戸 畑,鹿児島本線,"8,372",,68,中 津,日 豊 本 線,"2,556",,118,帖 佐,日 豊 本 線,"1,507"
19,大 野 城,鹿児島本線,"7,823",,69,光 の 森,豊 肥 本 線,"2,499",,119,原 水,豊 肥 本 線,"1,445"
20,赤 間,鹿児島本線,"7,511",,70,天 拝 山,鹿児島本線,"2,422",,120,神 埼,長 崎 本 線,"1,440"
21,九 産 大 前,鹿児島本線,"7,442",,71,糸 島 高 校 前,筑 肥 線,"2,377",,121,宇 島,日 豊 本 線,"1,437"
22,久 留 米,鹿児島本線,"7,294",,72,東 福 間,鹿児島本線,"2,376",,122,門 松,篠 栗 線,"1,416"
23,二 日 市,鹿児島本線,"6,971",,73,波 多 江,筑 肥 線,"2,323",,123,西 熊 本,鹿児島本線,"1,412"
24,鳥 栖,鹿児島本線,"6,475",,74,浦 上,長 崎 本 線,"2,313",,124,慈 眼 寺,指宿枕崎線,"1,387"
25,箱 崎,鹿児島本線,"6,317",,75,苅 田,日 豊 本 線,"2,308",,125,大 分 大 学 前,豊 肥 本 線,"1,378"
26,筑 前 前 原,筑 肥 線,"6,267",,76,安 部 山 公 園,日 豊 本 線,"2,276",,126,中 間,筑 豊 本 線,"1,377"
27,下 曽 根,日 豊 本 線,"6,158",,77,遠 賀 川,鹿児島本線,"2,214",,127,弥 生 が 丘,鹿児島本線,"1,367"
28,古 賀,鹿児島本線,"6,157",,78,坂 之 上,指宿枕崎線,"2,213",,128,ハウステンボス,大 村 線,"1,344"
29,八 幡,鹿児島本線,"5,712",,79,武 蔵 塚,豊 肥 本 線,"2,166",,129,由 布 院,久 大 本 線,"1,341"
30,姪 浜,筑 肥 線,"5,636",,80,玉 名,鹿児島本線,"2,164",,130,南 鹿 児 島,指宿枕崎線,"1,298"
31,別 府,日 豊 本 線,"5,621",,81,伊 集 院,鹿児島本線,"2,161",,131,二 島,筑 豊 本 線,"1,287"
32,門 司,鹿児島本線,"5,618",,82,教 育 大 前,鹿児島本線,"2,149",,132,亀 川,日 豊 本 線,"1,281"
33,宮 崎,日 豊 本 線,"5,438",,83,大 牟 田,鹿児島本線,"2,143",,133,宇 宿,指宿枕崎線,"1,253"
34,行 橋,日 豊 本 線,"5,426",,84,大 在,日 豊 本 線,"2,118",,134,吉野ヶ里公園,長 崎 本 線,"1,249"
35,笹 原,鹿児島本線,"5,310",,85,水 城,鹿児島本線,"2,057",,135,平 成,豊 肥 本 線,"1,226"
36,今 宿,筑 肥 線,"5,277",,86,新 八 代,鹿児島本線,"2,049",,136,小 森 江,鹿児島本線,"1,224"
37,新 宮 中 央,鹿児島本線,"5,177",,87,唐 津,唐 津 線,"1,958",,137,南 行 橋,日 豊 本 線,"1,221"
38,新 水 前 寺,豊 肥 本 線,"5,100",,88,武 雄 温 泉,佐 世 保 線,"1,953",,138,日 向 市,日 豊 本 線,"1,215"
39,東 郷,鹿児島本線,"4,912",,89,新 鳥 栖,長 崎 本 線,"1,936",,139,坂 ノ 市,日 豊 本 線,"1,194"
40,篠 栗,篠 栗 線,"4,892",,90,陣 原,鹿児島本線,"1,922",,140,久留米大学前,久 大 本 線,"1,192"
41,諫 早,長 崎 本 線,"4,845",,91,朽 網,日 豊 本 線,"1,913",,141,筑 後 船 小 屋,鹿児島本線,"1,177"
42,西 小 倉,鹿児島本線,"4,812",,92,水 巻,鹿児島本線,"1,911",,142,荒 木,鹿児島本線,"1,164"
43,周 船 寺,筑 肥 線,"4,793",,93,大 村,大 村 線,"1,908",,143,広 木,鹿児島本線,"1,156"
44,門 司 港,鹿児島本線,"4,776",,94,鶴 崎,日 豊 本 線,"1,850",,144,都 府 楼 南,鹿児島本線,"1,154"
45,南 小 倉,日 豊 本 線,"4,767",,95,宇 美,香 椎 線,"1,838",,145,南 熊 本,豊 肥 本 線,"1,152"
46,春 日,鹿児島本線,"4,441",,96,宇 土,鹿児島本線,"1,819",,146,佐 土 原,日 豊 本 線,"1,136"
47,城 野,日 豊 本 線,"4,306",,97,東 海 学 園 前,豊 肥 本 線,"1,755",,147,道 ノ 尾,長 崎 本 線,"1,127"
48,新 飯 塚,筑 豊 本 線,"4,230",,98,別 府 大 学,日 豊 本 線,"1,715",,148,奈 多,香 椎 線,"1,122"
49,柚 須,篠 栗 線,"4,223",,99,上 伊 集 院,鹿児島本線,"1,703",,149,出 水,九州新幹線,"1,122"
50,九 州 工 大 前,鹿児島本線,"4,065",,100,長 与,長 崎 本 線,"1,697",,150,江 北,長 崎 本 線,"1,088"
順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員
151,小 川,鹿児島本線,"1,083",,201,串 木 野,鹿児島本線,700,,251,日 宇,佐 世 保 線,445
152,延 岡,日 豊 本 線,"1,067",,202,三 里 木,豊 肥 本 線,694,,252,五 位 野,指宿枕崎線,439
153,姶 良,日 豊 本 線,"1,066",,203,新 田 原,日 豊 本 線,687,,253,石 田,日田彦山線,431
154,若 松,筑 豊 本 線,"1,040",,204,現 川,長 崎 本 線,684,,254,門 川,日 豊 本 線,429
155,飯 塚,筑 豊 本 線,"1,040",,205,椎 田,日 豊 本 線,682,,255,福 吉,筑 肥 線,418
156,日 向 住 吉,日 豊 本 線,"1,035",,206,牧,日 豊 本 線,677,,256,西 牟 田,鹿児島本線,414
157,西 諫 早,長 崎 本 線,"1,029",,207,三 重 町,豊 肥 本 線,672,,257,西 唐 津,唐 津 線,411
158,け や き 台,鹿児島本線,"1,020",,208,津 久 見,日 豊 本 線,657,,258,筑 後 吉 井,久 大 本 線,408
159,中 原,長 崎 本 線,"1,016",,209,牛 津,長 崎 本 線,631,,259,一 貴 山,筑 肥 線,408
160,小 城,唐 津 線,"1,007",,210,久留米高校前,久 大 本 線,624,,260,鯰 田,筑 豊 本 線,403
161,郡 元,指宿枕崎線,977,,211,肥 前 白 石,長 崎 本 線,623,,261,薩 摩 今 和 泉,指宿枕崎線,396
162,神 村 学 園 前,鹿児島本線,975,,212,加 布 里,筑 肥 線,623,,262,宇 佐,日 豊 本 線,394
163,敷 戸,豊 肥 本 線,974,,213,小 竹,筑 豊 本 線,623,,263,城戸南蔵院前,篠 栗 線,394
164,本 城,筑 豊 本 線,972,,214,銀 水,鹿児島本線,620,,264,隈 之 城,鹿児島本線,392
165,都 城,日 豊 本 線,964,,215,日 田,久 大 本 線,620,,265,滝 尾,豊 肥 本 線,388
166,香 椎 神 宮,香 椎 線,956,,216,向 之 原,久 大 本 線,617,,266,大 神,日 豊 本 線,386
167,海 ノ 中 道,香 椎 線,955,,217,南 大 分,久 大 本 線,611,,267,吉 野,鹿児島本線,384
168,荒 尾,鹿児島本線,920,,218,長 洲,鹿児島本線,611,,268,雁 ノ 巣,香 椎 線,383
169,有 佐,鹿児島本線,916,,219,築 城,日 豊 本 線,608,,269,南 久 留 米,久 大 本 線,376
170,伊 賀,香 椎 線,914,,220,清 武,日 豊 本 線,602,,270,飫 肥,日 南 線,375
171,川 尻,鹿児島本線,910,,221,久 保 田,長 崎 本 線,599,,271,小 林,吉 都 線,373
172,舞 松 原,香 椎 線,908,,222,指 宿,指宿枕崎線,595,,272,木 葉,鹿児島本線,368
173,酒 殿,香 椎 線,907,,223,鞍 手,筑 豊 本 線,595,,273,豊 後 豊 岡,日 豊 本 線,367
174,宮 崎 空 港,宮崎空港線,887,,224,臼 杵,日 豊 本 線,592,,274,木 花,日 南 線,352
175,西 里,鹿児島本線,878,,225,筑 前 大 分,篠 栗 線,590,,275,東 水 巻,筑 豊 本 線,351
176,暘 谷,日 豊 本 線,874,,226,天 道,筑 豊 本 線,582,,276,筑 前 垣 生,筑 豊 本 線,348
177,筑 前 深 江,筑 肥 線,863,,227,浜 崎,筑 肥 線,573,,277,和 多 田,筑 肥 線,343
178,西 戸 崎,香 椎 線,856,,228,高 田,長 崎 本 線,573,,278,熊 崎,日 豊 本 線,342
179,西 浦 上,長 崎 本 線,846,,229,薩 摩 松 元,鹿児島本線,570,,279,新 入,筑 豊 本 線,342
180,肥 前 鹿 島,長 崎 本 線,845,,230,柳 ケ 浦,日 豊 本 線,555,,280,大 野 下,鹿児島本線,335
181,竹 松,大 村 線,843,,231,鍋 島,長 崎 本 線,554,,281,二 月 田,指宿枕崎線,332
182,美 咲 が 丘,筑 肥 線,825,,232,田 川 伊 田,日田彦山線,553,,282,豊 後 竹 田,豊 肥 本 線,327
183,瀬 高,鹿児島本線,824,,233,新 大 牟 田,九州新幹線,552,,283,肥 前 古 賀,長 崎 本 線,320
184,南 延 岡,日 豊 本 線,811,,234,肥 前 麓,長 崎 本 線,542,,284,三 間 坂,佐 世 保 線,319
185,杵 築,日 豊 本 線,798,,235,新 玉 名,九州新幹線,531,,285,奥 洞 海,筑 豊 本 線,317
