順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員
186,須 恵,香 椎 線,785,,236,宮 崎 神 宮,日 豊 本 線,530,,286,市 来,鹿児島本線,316
187,高 鍋,日 豊 本 線,774,,237,日 出,日 豊 本 線,519,,287,三 角,三 角 線,314
188,志 井 公 園,日田彦山線,772,,238,古 国 府,久 大 本 線,515,,288,中 多 久,唐 津 線,314
189,田 川 後 藤 寺,日田彦山線,763,,239,田 野,日 豊 本 線,510,,289,南 荒 尾,鹿児島本線,313
190,肥 前 旭,鹿児島本線,760,,240,田 代,鹿児島本線,507,,290,上 臼 杵,日 豊 本 線,309
191,平 川,指宿枕崎線,754,,241,新 水 俣,九州新幹線,506,,291,豊 後 国 分,久 大 本 線,308
192,竜 田 口,豊 肥 本 線,745,,242,大 塔,佐 世 保 線,504,,292,東 市 来,鹿児島本線,305
193,富 合,鹿児島本線,742,,243,賀 来,久 大 本 線,497,,293,川 南,日 豊 本 線,300
194,東 唐 津,筑 肥 線,739,,244,喜 入,指宿枕崎線,493,,294,新 原,香 椎 線,295
195,植 木,鹿児島本線,735,,245,重 富,日 豊 本 線,489,,295,都 農,日 豊 本 線,294
196,中 判 田,豊 肥 本 線,731,,246,田 主 丸,久 大 本 線,488,,296,吉 富,日 豊 本 線,292
197,川 棚,大 村 線,726,,247,西 大 分,日 豊 本 線,486,,297,東 中 津,日 豊 本 線,288
198,新 大 村,大 村 線,725,,248,錦 江,日 豊 本 線,467,,298,湯 之 元,鹿児島本線,285
199,佐 伯,日 豊 本 線,710,,249,西 都 城,日 豊 本 線,466,,299,多 久,唐 津 線,282
200,有 田,佐 世 保 線,701,,250,筑 前 植 木,筑 豊 本 線,461,,300,山 本,唐 津 線,282
