順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員
1,博 多,鹿児島本線,"87,674",,51,原 田,鹿児島本線,"3,059",,101,隼 人,日 豊 本 線,"1,413"
2,小 倉,鹿児島本線,"25,014",,52,千 鳥,鹿児島本線,"3,039",,102,宇 島,日 豊 本 線,"1,382"
3,鹿 児 島 中 央,鹿児島本線,"14,013",,53,基 山,鹿児島本線,"2,999",,103,小波瀬西工大前,日 豊 本 線,"1,380"
4,大 分,日 豊 本 線,"13,250",,54,新 飯 塚,筑 豊 本 線,"2,994",,104,帖 佐,日 豊 本 線,"1,375"
5,吉 塚,鹿児島本線,"12,524",,55,海 老 津,鹿児島本線,"2,842",,105,し し ぶ,鹿児島本線,"1,375"
6,黒 崎,鹿児島本線,"11,333",,56,枝 光,鹿児島本線,"2,662",,106,早 岐,佐 世 保 線,"1,372"
7,折 尾,鹿児島本線,"11,306",,57,谷 山,指宿枕崎線,"2,546",,107,高 城,日 豊 本 線,"1,362"
8,香 椎,鹿児島本線,"10,494",,58,水 前 寺,豊 肥 本 線,"2,538",,108,桂 川,筑 豊 本 線,"1,342"
9,千 早,鹿児島本線,"10,452",,59,直 方,筑 豊 本 線,"2,487",,109,松 橋,鹿児島本線,"1,340"
10,熊 本,鹿児島本線,"9,465",,60,国 分,日 豊 本 線,"2,451",,110,鹿 児 島,鹿児島本線,"1,330"
11,佐 賀,長 崎 本 線,"8,546",,61,佐 世 保,佐 世 保 線,"2,391",,111,和 白,香 椎 線,"1,306"
12,福 工 大 前,鹿児島本線,"8,273",,62,下 山 門,筑 肥 線,"2,388",,112,新 八 代,鹿児島本線,"1,305"
13,南 福 岡,鹿児島本線,"8,013",,63,羽 犬 塚,鹿児島本線,"2,205",,113,亀 川,日 豊 本 線,"1,303"
14,戸 畑,鹿児島本線,"7,521",,64,天 拝 山,鹿児島本線,"2,166",,114,武 雄 温 泉,佐 世 保 線,"1,292"
15,福 間,鹿児島本線,"7,305",,65,浦 上,長 崎 本 線,"2,146",,115,慈 眼 寺,指宿枕崎線,"1,279"
16,竹 下,鹿児島本線,"6,861",,66,上 熊 本,鹿児島本線,"2,104",,116,神 埼,長 崎 本 線,"1,274"
17,赤 間,鹿児島本線,"6,582",,67,中 津,日 豊 本 線,"2,083",,117,土 井,香 椎 線,"1,268"
18,大 野 城,鹿児島本線,"6,554",,68,肥 後 大 津,豊 肥 本 線,"2,049",,118,中 間,筑 豊 本 線,"1,255"
19,九大学研都市,筑 肥 線,"6,531",,69,東 福 間,鹿児島本線,"2,033",,119,原 町,篠 栗 線,"1,215"
