順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員
20,長 崎,長 崎 本 線,"6,239",,70,川 内,鹿児島本線,"2,022",,120,南 鹿 児 島,指宿枕崎線,"1,214"
21,古 賀,鹿児島本線,"5,432",,71,光 の 森,豊 肥 本 線,"2,018",,121,東 海 学 園 前,豊 肥 本 線,"1,212"
22,久 留 米,鹿児島本線,"5,430",,72,伊 集 院,鹿児島本線,"1,997",,122,小 森 江,鹿児島本線,"1,165"
23,筑 前 前 原,筑 肥 線,"5,364",,73,玉 名,鹿児島本線,"1,971",,123,須 恵 中 央,香 椎 線,"1,155"
24,下 曽 根,日 豊 本 線,"5,339",,74,安 部 山 公 園,日 豊 本 線,"1,928",,124,門 松,篠 栗 線,"1,132"
25,二 日 市,鹿児島本線,"5,320",,75,大 村,大 村 線,"1,920",,125,南 行 橋,日 豊 本 線,"1,122"
26,鳥 栖,鹿児島本線,"5,207",,76,波 多 江,筑 肥 線,"1,920",,126,新 鳥 栖,長 崎 本 線,"1,064"
27,八 幡,鹿児島本線,"5,094",,77,遠 賀 川,鹿児島本線,"1,896",,127,日 向 市,日 豊 本 線,"1,063"
28,箱 崎,鹿児島本線,"4,927",,78,坂 之 上,指宿枕崎線,"1,867",,128,弥 生 が 丘,鹿児島本線,"1,041"
29,門 司,鹿児島本線,"4,876",,79,朽 網,日 豊 本 線,"1,822",,129,二 島,筑 豊 本 線,"1,040"
30,九 産 大 前,鹿児島本線,"4,832",,80,苅 田,日 豊 本 線,"1,821",,130,吉野ヶ里公園,長 崎 本 線,"1,037"
31,姪 浜,筑 肥 線,"4,690",,81,武 蔵 塚,豊 肥 本 線,"1,805",,131,坂 ノ 市,日 豊 本 線,"1,032"
32,行 橋,日 豊 本 線,"4,652",,82,陣 原,鹿児島本線,"1,785",,132,荒 木,鹿児島本線,"1,029"
33,笹 原,鹿児島本線,"4,449",,83,大 牟 田,鹿児島本線,"1,783",,133,崇 城 大 学 前,鹿児島本線,"1,021"
34,今 宿,筑 肥 線,"4,329",,84,大 在,日 豊 本 線,"1,730",,134,宇 宿,指宿枕崎線,"1,013"
35,新 宮 中 央,鹿児島本線,"4,311",,85,スペースワールド,鹿児島本線,"1,696",,135,け や き 台,鹿児島本線,"1,003"
36,別 府,日 豊 本 線,"4,241",,86,水 城,鹿児島本線,"1,661",,136,西 熊 本,鹿児島本線,973
37,南 小 倉,日 豊 本 線,"4,168",,87,加 治 木,日 豊 本 線,"1,630",,137,佐 土 原,日 豊 本 線,957
38,東 郷,鹿児島本線,"4,144",,88,教 育 大 前,鹿児島本線,"1,625",,138,大 分 大 学 前,豊 肥 本 線,953
39,諫 早,長 崎 本 線,"3,990",,89,唐 津,唐 津 線,"1,616",,139,道 ノ 尾,長 崎 本 線,950
40,西 小 倉,鹿児島本線,"3,985",,90,水 巻,鹿児島本線,"1,598",,140,小 川,鹿児島本線,949
41,篠 栗,篠 栗 線,"3,951",,91,長 与,長 崎 本 線,"1,570",,141,竹 松,大 村 線,945
42,周 船 寺,筑 肥 線,"3,946",,92,鶴 崎,日 豊 本 線,"1,546",,142,都 府 楼 南,鹿児島本線,931
43,新 水 前 寺,豊 肥 本 線,"3,882",,93,別 府 大 学,日 豊 本 線,"1,531",,143,中 原,長 崎 本 線,920
44,宮 崎,日 豊 本 線,"3,762",,94,宇 美,香 椎 線,"1,529",,144,小 城,唐 津 線,919
45,城 野,日 豊 本 線,"3,726",,95,南 宮 崎,日 豊 本 線,"1,520",,145,若 松,筑 豊 本 線,906
46,春 日,鹿児島本線,"3,676",,96,八 代,鹿児島本線,"1,515",,146,平 成,豊 肥 本 線,905
47,門 司 港,鹿児島本線,"3,486",,97,宇 土,鹿児島本線,"1,504",,147,西 諫 早,長 崎 本 線,897
48,柚 須,篠 栗 線,"3,450",,98,上 伊 集 院,鹿児島本線,"1,501",,148,平 川,指宿枕崎線,896
49,九 州 工 大 前,鹿児島本線,"3,359",,99,喜 々 津,長 崎 本 線,"1,499",,149,郡 元,指宿枕崎線,889
50,長 者 原,篠 栗 線,"3,142",,100,糸 島 高 校 前,筑 肥 線,"1,471",,150,奈 多,香 椎 線,882
順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員
151,姶 良,日 豊 本 線,881,,201,佐 伯,日 豊 本 線,567,,251,一 貴 山,筑 肥 線,363
152,敷 戸,豊 肥 本 線,879,,202,酒 殿,香 椎 線,557,,252,中 多 久,唐 津 線,360
153,神 村 学 園 前,鹿児島本線,877,,203,竜 田 口,豊 肥 本 線,557,,253,海 ノ 中 道,香 椎 線,360
154,広 木,鹿児島本線,861,,204,須 恵,香 椎 線,547,,254,隈 之 城,鹿児島本線,349
155,本 城,筑 豊 本 線,860,,205,植 木,鹿児島本線,546,,255,福 吉,筑 肥 線,349
156,肥 前 山 口,長 崎 本 線,834,,206,向 之 原,久 大 本 線,541,,256,飫 肥,日 南 線,345
157,肥 前 鹿 島,長 崎 本 線,833,,207,銀 水,鹿児島本線,540,,257,新 水 俣,九州新幹線,344
158,南 熊 本,豊 肥 本 線,822,,208,小 竹,筑 豊 本 線,538,,258,門 川,日 豊 本 線,344
159,美 咲 が 丘,筑 肥 線,819,,209,鞍 手,筑 豊 本 線,530,,259,西 都 城,日 豊 本 線,342
160,香 椎 神 宮,香 椎 線,815,,210,加 布 里,筑 肥 線,530,,260,豊 後 竹 田,豊 肥 本 線,341
161,舞 松 原,香 椎 線,806,,211,長 洲,鹿児島本線,525,,261,石 田,日田彦山線,338
162,出 水,九州新幹線,805,,212,築 城,日 豊 本 線,520,,262,上 臼 杵,日 豊 本 線,333
163,延 岡,日 豊 本 線,801,,213,西 里,鹿児島本線,518,,263,豊 後 豊 岡,日 豊 本 線,329
164,都 城,日 豊 本 線,800,,214,田 代,鹿児島本線,503,,264,南 久 留 米,久 大 本 線,329
165,久留米大学前,久 大 本 線,797,,215,日 田,久 大 本 線,502,,265,西 牟 田,鹿児島本線,329
166,西 浦 上,長 崎 本 線,792,,216,富 合,鹿児島本線,500,,266,熊 崎,日 豊 本 線,326
167,原 水,豊 肥 本 線,780,,217,久 保 田,長 崎 本 線,485,,267,東 水 巻,筑 豊 本 線,324
168,瀬 高,鹿児島本線,779,,218,清 武,日 豊 本 線,480,,268,宮 崎 空 港,宮崎空港線,321
169,荒 尾,鹿児島本線,776,,219,高 田,長 崎 本 線,478,,269,宇 佐,日 豊 本 線,320
170,筑 後 船 小 屋,鹿児島本線,771,,220,南 大 分,久 大 本 線,476,,270,二 月 田,指宿枕崎線,318
171,飯 塚,筑 豊 本 線,757,,221,薩 摩 松 元,鹿児島本線,473,,271,雁 ノ 巣,香 椎 線,313
172,三 重 町,豊 肥 本 線,752,,222,田 主 丸,久 大 本 線,473,,272,五 位 野,指宿枕崎線,312
173,暘 谷,日 豊 本 線,747,,223,柳 ケ 浦,日 豊 本 線,471,,273,三 間 坂,佐 世 保 線,308
174,川 棚,大 村 線,746,,224,筑 前 大 分,篠 栗 線,468,,274,滝 尾,豊 肥 本 線,307
175,日 向 住 吉,日 豊 本 線,745,,225,浜 崎,筑 肥 線,464,,275,由 布 院,久 大 本 線,301
176,川 尻,鹿児島本線,737,,226,喜 入,指宿枕崎線,461,,276,小 野 屋,久 大 本 線,299
177,伊 賀,香 椎 線,735,,227,肥 前 麓,長 崎 本 線,460,,277,木 葉,鹿児島本線,295
178,中 判 田,豊 肥 本 線,728,,228,日 出,日 豊 本 線,456,,278,和 多 田,筑 肥 線,293
179,有 佐,鹿児島本線,723,,229,鍋 島,長 崎 本 線,446,,279,市 来,鹿児島本線,293
180,津 久 見,日 豊 本 線,709,,230,田 野,日 豊 本 線,445,,280,筑 前 垣 生,筑 豊 本 線,291
181,筑 前 深 江,筑 肥 線,701,,231,田 川 伊 田,日田彦山線,442,,281,新 玉 名,九州新幹線,287
182,南 延 岡,日 豊 本 線,698,,232,日 宇,佐 世 保 線,421,,282,新 入,筑 豊 本 線,285
183,高 鍋,日 豊 本 線,679,,233,賀 来,久 大 本 線,421,,283,南 荒 尾,鹿児島本線,284
184,杵 築,日 豊 本 線,677,,234,宮 崎 神 宮,日 豊 本 線,419,,284,都 農,日 豊 本 線,279
185,新 田 原,日 豊 本 線,670,,235,三 里 木,豊 肥 本 線,419,,285,鯰 田,筑 豊 本 線,279
186,串 木 野,鹿児島本線,666,,236,天 道,筑 豊 本 線,415,,286,肥 前 古 賀,長 崎 本 線,277
187,志 井 公 園,日田彦山線,665,,237,薩 摩 今 和 泉,指宿枕崎線,414,,287,木 花,日 南 線,268
188,現 川,長 崎 本 線,659,,238,大 塔,佐 世 保 線,413,,288,大 野 下,鹿児島本線,266
189,ハウステンボス,大 村 線,654,,239,筑 前 植 木,筑 豊 本 線,410,,289,東 市 来,鹿児島本線,265
190,椎 田,日 豊 本 線,650,,240,錦 江,日 豊 本 線,409,,290,奥 洞 海,筑 豊 本 線,265
191,肥 前 白 石,長 崎 本 線,649,,241,重 富,日 豊 本 線,404,,291,湯 之 元,鹿児島本線,265
192,牛 津,長 崎 本 線,648,,242,古 国 府,久 大 本 線,403,,292,豊 後 国 分,久 大 本 線,263
193,西 戸 崎,香 椎 線,646,,243,西 大 分,日 豊 本 線,395,,293,幸 崎,日 豊 本 線,260
194,有 田,佐 世 保 線,643,,244,吉 野,鹿児島本線,393,,294,吉 富,日 豊 本 線,257
195,東 唐 津,筑 肥 線,628,,245,指 宿,指宿枕崎線,391,,295,日 向 新 富,日 豊 本 線,256
196,牧,日 豊 本 線,615,,246,大 神,日 豊 本 線,387,,296,犬 飼,豊 肥 本 線,256
197,田 川 後 藤 寺,日田彦山線,602,,247,西 唐 津,唐 津 線,381,,297,山 本,唐 津 線,254
198,肥 前 旭,鹿児島本線,578,,248,筑 後 吉 井,久 大 本 線,367,,298,三 角,三 角 線,252
199,臼 杵,日 豊 本 線,575,,249,小 林,吉 都 線,366,,299,多 久,唐 津 線,252
200,久留米高校前,久 大 本 線,569,,250,新 大 牟 田,九州新幹線,364,,300,川 南,日 豊 本 線,249
