順位,駅名,線名,乗車人員
135,吉野ヶ里公園,長崎本線,"1,139"
136,ハウステンボス,大村線,"1,138"
137,宇宿,指宿枕崎線,"1,113"
138,都府楼南,鹿児島本線,"1,106"
139,平成,豊肥本線,"1,100"
140,坂ノ市,日豊本線,"1,098"
141,原水,豊肥本線,"1,089"
142,筑後船小屋,鹿児島本線,"1,073"
143,南熊本,豊肥本線,"1,060"
144,道ノ尾,長崎本線,"1,056"
145,けやき台,鹿児島本線,"1,044"
146,出水,九州新幹線,"1,044"
147,佐土原,日豊本線,"1,038"
148,奈多,香椎線,"1,019"
149,広木,鹿児島本線,"1,016"
150,小川,鹿児島本線,"1,011"
151,日向住吉,日豊本線,"1,002"
152,江北,長崎本線,998
153,若松,筑豊本線,998
154,本城,筑豊本線,992
155,中原,長崎本線,987
156,延岡,日豊本線,982
157,西諫早,長崎本線,974
158,姶良,日豊本線,974
159,神村学園前,鹿児島本線,957
160,小城,唐津線,940
161,竹松,大村線,936
162,郡元,指宿枕崎線,920
163,敷戸,豊肥本線,907
164,都城,日豊本線,903
165,香椎神宮,香椎線,892
166,荒尾,鹿児島本線,887
167,飯塚,筑豊本線,883
168,肥前鹿島,長崎本線,872
169,伊賀,香椎線,871
170,川尻,鹿児島本線,871
171,由布院,久大本線,860
172,舞松原,香椎線,849
173,有佐,鹿児島本線,842
174,瀬高,鹿児島本線,830
175,美咲が丘,筑肥線,826
176,暘谷,日豊本線,822
177,西戸崎,香椎線,799
178,酒殿,香椎線,797
179,西浦上,長崎本線,793
180,西里,鹿児島本線,790
181,志井公園,日田彦山線,784
182,筑前深江,筑肥線,780
183,南延岡,日豊本線,766
184,平川,指宿枕崎線,761
185,宮崎空港,宮崎空港線,760
186,海ノ中道,香椎線,756
187,杵築,日豊本線,747
188,高鍋,日豊本線,734
189,竜田口,豊肥本線,719
190,川棚,大村線,708
191,須恵,香椎線,702
192,有田,佐世保線,691
193,中判田,豊肥本線,691
194,田川後藤寺,日田彦山線,685
195,肥前旭,鹿児島本線,683
196,植木,鹿児島本線,683
197,新田原,日豊本線,675
198,富合,鹿児島本線,673
199,東唐津,筑肥線,669
200,現川,長崎本線,669
201,串木野,鹿児島本線,661
202,三重町,豊肥本線,660
203,椎田,日豊本線,658
204,牧,日豊本線,646
205,銀水,鹿児島本線,643
206,佐伯,日豊本線,633
207,津久見,日豊本線,616
208,牛津,長崎本線,615
209,肥前白石,長崎本線,603
210,鞍手,筑豊本線,599
211,久留米高校前,久大本線,599
212,長洲,鹿児島本線,586
213,日田,久大本線,584
214,加布里,筑肥線,582
215,築城,日豊本線,581
216,小竹,筑豊本線,581
217,三里木,豊肥本線,579
218,清武,日豊本線,566
219,向之原,久大本線,560
220,臼杵,日豊本線,559
221,久保田,長崎本線,549
222,新大村,大村線,548
223,天道,筑豊本線,542
224,柳ケ浦,日豊本線,530
225,筑前大分,篠栗線,529
226,高田,長崎本線,528
227,田川伊田,日田彦山線,526
228,南大分,久大本線,523
229,浜崎,筑肥線,523
230,肥前麓,長崎本線,522
231,薩摩松元,鹿児島本線,519
232,指宿,指宿枕崎線,511
233,鍋島,長崎本線,501
234,田主丸,久大本線,499
235,田代,鹿児島本線,495
236,宮崎神宮,日豊本線,491
237,新大牟田,九州新幹線,488
238,田野,日豊本線,486
239,日出,日豊本線,484
240,喜入,指宿枕崎線,476
241,大塔,佐世保線,467
242,筑前植木,筑豊本線,466
243,西大分,日豊本線,466
244,古国府,久大本線,453
245,錦江,日豊本線,451
246,賀来,久大本線,446
247,重富,日豊本線,445
248,新水俣,九州新幹線,438
249,西都城,日豊本線,434
250,新玉名,九州新幹線,433
251,西牟田,鹿児島本線,404
252,筑後吉井,久大本線,399
253,門川,日豊本線,392
254,石田,日田彦山線,392
255,日宇,佐世保線,391
256,薩摩今和泉,指宿枕崎線,390
257,吉野,鹿児島本線,390
258,五位野,指宿枕崎線,386
259,一貴山,筑肥線,385
260,大神,日豊本線,384
261,福吉,筑肥線,380
262,西唐津,唐津線,378
263,南久留米,久大本線,365
264,雁ノ巣,香椎線,364
265,鯰田,筑豊本線,364
266,豊後豊岡,日豊本線,361
267,飫肥,日南線,360
268,隈之城,鹿児島本線,360
269,木花,日南線,359
270,小林,吉都線,354
271,宇佐,日豊本線,353
272,東水巻,筑豊本線,339
273,滝尾,豊肥本線,334
274,木葉,鹿児島本線,333
275,筑前垣生,筑豊本線,332
276,新入,筑豊本線,331
277,熊崎,日豊本線,331
278,和多田,筑肥線,325
279,大野下,鹿児島本線,320
280,奥洞海,筑豊本線,312
281,二月田,指宿枕崎線,311
282,上臼杵,日豊本線,310
283,三間坂,佐世保線,308
284,中多久,唐津線,307
285,南荒尾,鹿児島本線,306
286,豊後竹田,豊肥本線,303
287,市来,鹿児島本線,302
288,三角,三角線,298
289,東市来,鹿児島本線,293
290,豊後国分,久大本線,291
291,吉富,日豊本線,287
292,城戸南蔵院前,篠栗線,281
293,肥前古賀,長崎本線,276
294,多久,唐津線,276
295,川南,日豊本線,274
296,善導寺,久大本線,272
297,都農,日豊本線,270
298,新原,香椎線,269
299,小野屋,久大本線,269
300,財光寺,日豊本線,267
