順位,駅名,線名,乗車人員
1,博多,鹿児島本線,"108,383"
2,小倉,鹿児島本線,"30,297"
3,鹿児島中央,鹿児島本線,"17,321"
4,大分,日豊本線,"15,427"
5,熊本,鹿児島本線,"14,046"
6,吉塚,鹿児島本線,"14,017"
7,折尾,鹿児島本線,"13,451"
8,黒崎,鹿児島本線,"12,863"
9,千早,鹿児島本線,"12,762"
10,香椎,鹿児島本線,"12,412"
11,佐賀,長崎本線,"10,619"
12,福工大前,鹿児島本線,"10,458"
13,南福岡,鹿児島本線,"9,262"
14,竹下,鹿児島本線,"9,234"
15,九大学研都市,筑肥線,"8,258"
16,戸畑,鹿児島本線,"8,235"
17,福間,鹿児島本線,"8,221"
18,長崎,長崎本線,"7,853"
19,大野城,鹿児島本線,"7,605"
20,赤間,鹿児島本線,"7,275"
21,九産大前,鹿児島本線,"6,965"
22,久留米,鹿児島本線,"6,838"
23,二日市,鹿児島本線,"6,629"
24,鳥栖,鹿児島本線,"6,030"
25,古賀,鹿児島本線,"6,008"
26,下曽根,日豊本線,"5,920"
27,筑前前原,筑肥線,"5,911"
28,箱崎,鹿児島本線,"5,853"
29,八幡,鹿児島本線,"5,592"
30,門司,鹿児島本線,"5,362"
31,姪浜,筑肥線,"5,349"
32,行橋,日豊本線,"5,120"
33,別府,日豊本線,"5,042"
34,笹原,鹿児島本線,"5,003"
35,今宿,筑肥線,"4,934"
36,宮崎,日豊本線,"4,931"
37,新宮中央,鹿児島本線,"4,850"
38,西小倉,鹿児島本線,"4,697"
39,新水前寺,豊肥本線,"4,696"
40,東郷,鹿児島本線,"4,694"
41,南小倉,日豊本線,"4,577"
42,諫早,長崎本線,"4,542"
43,周船寺,筑肥線,"4,490"
44,篠栗,篠栗線,"4,474"
45,門司港,鹿児島本線,"4,389"
46,春日,鹿児島本線,"4,304"
47,城野,日豊本線,"4,213"
48,九州工大前,鹿児島本線,"3,872"
49,新飯塚,筑豊本線,"3,864"
50,柚須,篠栗線,"3,825"
51,長者原,篠栗線,"3,630"
52,原田,鹿児島本線,"3,431"
53,基山,鹿児島本線,"3,393"
54,スペースワールド,鹿児島本線,"3,219"
55,千鳥,鹿児島本線,"3,201"
56,海老津,鹿児島本線,"3,178"
57,佐世保,佐世保線,"3,118"
58,水前寺,豊肥本線,"3,103"
59,谷山,指宿枕崎線,"2,956"
60,直方,筑豊本線,"2,922"
61,枝光,鹿児島本線,"2,727"
62,下山門,筑肥線,"2,658"
63,羽犬塚,鹿児島本線,"2,594"
64,上熊本,鹿児島本線,"2,565"
65,国分,日豊本線,"2,514"
66,川内,鹿児島本線,"2,454"
67,天拝山,鹿児島本線,"2,439"
68,中津,日豊本線,"2,412"
69,肥後大津,豊肥本線,"2,410"
70,浦上,長崎本線,"2,363"
71,光の森,豊肥本線,"2,318"
72,東福間,鹿児島本線,"2,311"
73,波多江,筑肥線,"2,190"
74,安部山公園,日豊本線,"2,166"
75,糸島高校前,筑肥線,"2,157"
76,遠賀川,鹿児島本線,"2,109"
77,大牟田,鹿児島本線,"2,105"
78,苅田,日豊本線,"2,093"
79,玉名,鹿児島本線,"2,085"
80,教育大前,鹿児島本線,"2,071"
81,伊集院,鹿児島本線,"2,049"
82,坂之上,指宿枕崎線,"2,042"
83,武蔵塚,豊肥本線,"2,035"
84,大在,日豊本線,"1,972"
85,水城,鹿児島本線,"1,911"
86,大村,大村線,"1,897"
87,陣原,鹿児島本線,"1,896"
88,朽網,日豊本線,"1,884"
89,唐津,唐津線,"1,867"
90,水巻,鹿児島本線,"1,817"
91,宇美,香椎線,"1,792"
92,新八代,鹿児島本線,"1,751"
93,宇土,鹿児島本線,"1,725"
94,武雄温泉,佐世保線,"1,716"
95,鶴崎,日豊本線,"1,683"
96,別府大学,日豊本線,"1,666"
97,新鳥栖,長崎本線,"1,630"
98,加治木,日豊本線,"1,615"
99,八代,鹿児島本線,"1,607"
100,南宮崎,日豊本線,"1,606"
101,東海学園前,豊肥本線,"1,597"
102,小波瀬西工大前,日豊本線,"1,596"
103,長与,長崎本線,"1,591"
104,上伊集院,鹿児島本線,"1,551"
105,喜々津,長崎本線,"1,547"
106,桂川,筑豊本線,"1,524"
107,隼人,日豊本線,"1,514"
108,土井,香椎線,"1,511"
109,原町,篠栗線,"1,508"
110,松橋,鹿児島本線,"1,504"
111,和白,香椎線,"1,499"
112,早岐,佐世保線,"1,495"
113,鹿児島,鹿児島本線,"1,491"
114,ししぶ,鹿児島本線,"1,485"
115,高城,日豊本線,"1,476"
116,須恵中央,香椎線,"1,440"
117,中間,筑豊本線,"1,420"
118,帖佐,日豊本線,"1,417"
119,宇島,日豊本線,"1,410"
120,神埼,長崎本線,"1,381"
121,崇城大学前,鹿児島本線,"1,377"
122,慈眼寺,指宿枕崎線,"1,327"
123,西熊本,鹿児島本線,"1,312"
124,門松,篠栗線,"1,303"
125,二島,筑豊本線,"1,261"
126,大分大学前,豊肥本線,"1,254"
127,亀川,日豊本線,"1,253"
128,弥生が丘,鹿児島本線,"1,237"
129,南行橋,日豊本線,"1,226"
130,小森江,鹿児島本線,"1,223"
131,南鹿児島,指宿枕崎線,"1,221"
132,久留米大学前,久大本線,"1,206"
133,荒木,鹿児島本線,"1,169"
134,日向市,日豊本線,"1,168"
