順位,駅名,線名,乗車人員
1,博多,鹿児島本線,"119,562"
2,小倉,鹿児島本線,"32,073"
3,鹿児島中央,鹿児島本線,"19,437"
4,大分,日豊本線,"16,949"
5,熊本,鹿児島本線,"16,292"
6,吉塚,鹿児島本線,"14,867"
7,折尾,鹿児島本線,"13,983"
8,千早,鹿児島本線,"13,559"
9,香椎,鹿児島本線,"13,470"
10,黒崎,鹿児島本線,"13,247"
11,佐賀,長崎本線,"11,722"
12,福工大前,鹿児島本線,"10,922"
13,南福岡,鹿児島本線,"9,711"
14,竹下,鹿児島本線,"9,470"
15,九大学研都市,筑肥線,"8,985"
16,長崎,長崎本線,"8,863"
17,福間,鹿児島本線,"8,549"
18,戸畑,鹿児島本線,"8,372"
19,大野城,鹿児島本線,"7,823"
20,赤間,鹿児島本線,"7,511"
21,九産大前,鹿児島本線,"7,442"
22,久留米,鹿児島本線,"7,294"
23,二日市,鹿児島本線,"6,971"
24,鳥栖,鹿児島本線,"6,475"
25,箱崎,鹿児島本線,"6,317"
26,筑前前原,筑肥線,"6,267"
27,下曽根,日豊本線,"6,158"
28,古賀,鹿児島本線,"6,157"
29,八幡,鹿児島本線,"5,712"
30,姪浜,筑肥線,"5,636"
31,別府,日豊本線,"5,621"
32,門司,鹿児島本線,"5,618"
33,宮崎,日豊本線,"5,438"
34,行橋,日豊本線,"5,426"
35,笹原,鹿児島本線,"5,310"
36,今宿,筑肥線,"5,277"
37,新宮中央,鹿児島本線,"5,177"
38,新水前寺,豊肥本線,"5,100"
39,東郷,鹿児島本線,"4,912"
40,篠栗,篠栗線,"4,892"
41,諫早,長崎本線,"4,845"
42,西小倉,鹿児島本線,"4,812"
43,周船寺,筑肥線,"4,793"
44,門司港,鹿児島本線,"4,776"
45,南小倉,日豊本線,"4,767"
46,春日,鹿児島本線,"4,441"
47,城野,日豊本線,"4,306"
48,新飯塚,筑豊本線,"4,230"
49,柚須,篠栗線,"4,223"
50,九州工大前,鹿児島本線,"4,065"
51,長者原,篠栗線,"3,845"
52,原田,鹿児島本線,"3,508"
53,基山,鹿児島本線,"3,467"
54,水前寺,豊肥本線,"3,426"
55,佐世保,佐世保線,"3,399"
56,千鳥,鹿児島本線,"3,302"
57,谷山,指宿枕崎線,"3,241"
58,海老津,鹿児島本線,"3,207"
