順位,駅名,線名,乗車人員
1,博多,鹿児島本線,"87,674"
2,小倉,鹿児島本線,"25,014"
3,鹿児島中央,鹿児島本線,"14,013"
4,大分,日豊本線,"13,250"
5,吉塚,鹿児島本線,"12,524"
6,黒崎,鹿児島本線,"11,333"
7,折尾,鹿児島本線,"11,306"
8,香椎,鹿児島本線,"10,494"
9,千早,鹿児島本線,"10,452"
10,熊本,鹿児島本線,"9,465"
11,佐賀,長崎本線,"8,546"
12,福工大前,鹿児島本線,"8,273"
13,南福岡,鹿児島本線,"8,013"
14,戸畑,鹿児島本線,"7,521"
15,福間,鹿児島本線,"7,305"
16,竹下,鹿児島本線,"6,861"
17,赤間,鹿児島本線,"6,582"
18,大野城,鹿児島本線,"6,554"
19,九大学研都市,筑肥線,"6,531"
20,長崎,長崎本線,"6,239"
21,古賀,鹿児島本線,"5,432"
22,久留米,鹿児島本線,"5,430"
23,筑前前原,筑肥線,"5,364"
24,下曽根,日豊本線,"5,339"
25,二日市,鹿児島本線,"5,320"
26,鳥栖,鹿児島本線,"5,207"
27,八幡,鹿児島本線,"5,094"
28,箱崎,鹿児島本線,"4,927"
29,門司,鹿児島本線,"4,876"
30,九産大前,鹿児島本線,"4,832"
31,姪浜,筑肥線,"4,690"
32,行橋,日豊本線,"4,652"
33,笹原,鹿児島本線,"4,449"
34,今宿,筑肥線,"4,329"
35,新宮中央,鹿児島本線,"4,311"
36,別府,日豊本線,"4,241"
37,南小倉,日豊本線,"4,168"
38,東郷,鹿児島本線,"4,144"
39,諫早,長崎本線,"3,990"
40,西小倉,鹿児島本線,"3,985"
41,篠栗,篠栗線,"3,951"
42,周船寺,筑肥線,"3,946"
43,新水前寺,豊肥本線,"3,882"
44,宮崎,日豊本線,"3,762"
45,城野,日豊本線,"3,726"
46,春日,鹿児島本線,"3,676"
47,門司港,鹿児島本線,"3,486"
48,柚須,篠栗線,"3,450"
49,九州工大前,鹿児島本線,"3,359"
50,長者原,篠栗線,"3,142"
51,原田,鹿児島本線,"3,059"
52,千鳥,鹿児島本線,"3,039"
53,基山,鹿児島本線,"2,999"
54,新飯塚,筑豊本線,"2,994"
55,海老津,鹿児島本線,"2,842"
56,枝光,鹿児島本線,"2,662"
57,谷山,指宿枕崎線,"2,546"
58,水前寺,豊肥本線,"2,538"
59,直方,筑豊本線,"2,487"
60,国分,日豊本線,"2,451"
61,佐世保,佐世保線,"2,391"
62,下山門,筑肥線,"2,388"
63,羽犬塚,鹿児島本線,"2,205"
64,天拝山,鹿児島本線,"2,166"
65,浦上,長崎本線,"2,146"
66,上熊本,鹿児島本線,"2,104"
67,中津,日豊本線,"2,083"
68,肥後大津,豊肥本線,"2,049"
69,東福間,鹿児島本線,"2,033"
70,川内,鹿児島本線,"2,022"
71,光の森,豊肥本線,"2,018"
72,伊集院,鹿児島本線,"1,997"
73,玉名,鹿児島本線,"1,971"
74,安部山公園,日豊本線,"1,928"
75,大村,大村線,"1,920"
76,波多江,筑肥線,"1,920"
77,遠賀川,鹿児島本線,"1,896"
78,坂之上,指宿枕崎線,"1,867"
79,朽網,日豊本線,"1,822"
80,苅田,日豊本線,"1,821"
81,武蔵塚,豊肥本線,"1,805"
82,陣原,鹿児島本線,"1,785"
83,大牟田,鹿児島本線,"1,783"
84,大在,日豊本線,"1,730"
85,スペースワールド,鹿児島本線,"1,696"
86,水城,鹿児島本線,"1,661"
87,加治木,日豊本線,"1,630"
88,教育大前,鹿児島本線,"1,625"
89,唐津,唐津線,"1,616"
90,水巻,鹿児島本線,"1,598"
91,長与,長崎本線,"1,570"
92,鶴崎,日豊本線,"1,546"
93,別府大学,日豊本線,"1,531"
94,宇美,香椎線,"1,529"
95,南宮崎,日豊本線,"1,520"
96,八代,鹿児島本線,"1,515"
97,宇土,鹿児島本線,"1,504"
98,上伊集院,鹿児島本線,"1,501"
99,喜々津,長崎本線,"1,499"
100,糸島高校前,筑肥線,"1,471"
101,隼人,日豊本線,"1,413"
102,宇島,日豊本線,"1,382"
103,小波瀬西工大前,日豊本線,"1,380"
104,帖佐,日豊本線,"1,375"
105,ししぶ,鹿児島本線,"1,375"
106,早岐,佐世保線,"1,372"
107,高城,日豊本線,"1,362"
108,桂川,筑豊本線,"1,342"
109,松橋,鹿児島本線,"1,340"
110,鹿児島,鹿児島本線,"1,330"
111,和白,香椎線,"1,306"
112,新八代,鹿児島本線,"1,305"
113,亀川,日豊本線,"1,303"
114,武雄温泉,佐世保線,"1,292"
115,慈眼寺,指宿枕崎線,"1,279"
116,神埼,長崎本線,"1,274"
117,土井,香椎線,"1,268"
118,中間,筑豊本線,"1,255"
119,原町,篠栗線,"1,215"
120,南鹿児島,指宿枕崎線,"1,214"
121,東海学園前,豊肥本線,"1,212"
122,小森江,鹿児島本線,"1,165"
123,須恵中央,香椎線,"1,155"
124,門松,篠栗線,"1,132"
125,南行橋,日豊本線,"1,122"
126,新鳥栖,長崎本線,"1,064"
127,日向市,日豊本線,"1,063"
128,弥生が丘,鹿児島本線,"1,041"
129,二島,筑豊本線,"1,040"
130,吉野ヶ里公園,長崎本線,"1,037"
131,坂ノ市,日豊本線,"1,032"
132,荒木,鹿児島本線,"1,029"
133,崇城大学前,鹿児島本線,"1,021"
134,宇宿,指宿枕崎線,"1,013"
135,けやき台,鹿児島本線,"1,003"
136,西熊本,鹿児島本線,973
137,佐土原,日豊本線,957
138,大分大学前,豊肥本線,953
139,道ノ尾,長崎本線,950
140,小川,鹿児島本線,949
141,竹松,大村線,945
142,都府楼南,鹿児島本線,931
143,中原,長崎本線,920
144,小城,唐津線,919
145,若松,筑豊本線,906
146,平成,豊肥本線,905
147,西諫早,長崎本線,897
148,平川,指宿枕崎線,896
149,郡元,指宿枕崎線,889
150,奈多,香椎線,882
151,姶良,日豊本線,881
152,敷戸,豊肥本線,879
153,神村学園前,鹿児島本線,877
154,広木,鹿児島本線,861
155,本城,筑豊本線,860
156,肥前山口,長崎本線,834
157,肥前鹿島,長崎本線,833
158,南熊本,豊肥本線,822
159,美咲が丘,筑肥線,819
160,香椎神宮,香椎線,815
161,舞松原,香椎線,806
162,出水,九州新幹線,805
163,延岡,日豊本線,801
164,都城,日豊本線,800
165,久留米大学前,久大本線,797
166,西浦上,長崎本線,792
167,原水,豊肥本線,780
168,瀬高,鹿児島本線,779
169,荒尾,鹿児島本線,776
170,筑後船小屋,鹿児島本線,771
171,飯塚,筑豊本線,757
172,三重町,豊肥本線,752
173,暘谷,日豊本線,747
174,川棚,大村線,746
175,日向住吉,日豊本線,745
176,川尻,鹿児島本線,737
177,伊賀,香椎線,735
178,中判田,豊肥本線,728
179,有佐,鹿児島本線,723
180,津久見,日豊本線,709
181,筑前深江,筑肥線,701
182,南延岡,日豊本線,698
183,高鍋,日豊本線,679
184,杵築,日豊本線,677
185,新田原,日豊本線,670
186,串木野,鹿児島本線,666
187,志井公園,日田彦山線,665
188,現川,長崎本線,659
189,ハウステンボス,大村線,654
190,椎田,日豊本線,650
191,肥前白石,長崎本線,649
192,牛津,長崎本線,648
193,西戸崎,香椎線,646
194,有田,佐世保線,643
195,東唐津,筑肥線,628
196,牧,日豊本線,615
197,田川後藤寺,日田彦山線,602
198,肥前旭,鹿児島本線,578
199,臼杵,日豊本線,575
200,久留米高校前,久大本線,569
201,佐伯,日豊本線,567
202,酒殿,香椎線,557
203,竜田口,豊肥本線,557
204,須恵,香椎線,547
205,植木,鹿児島本線,546
206,向之原,久大本線,541
207,銀水,鹿児島本線,540
208,小竹,筑豊本線,538
209,鞍手,筑豊本線,530
210,加布里,筑肥線,530
211,長洲,鹿児島本線,525
212,築城,日豊本線,520
213,西里,鹿児島本線,518
214,田代,鹿児島本線,503
215,日田,久大本線,502
216,富合,鹿児島本線,500
217,久保田,長崎本線,485
218,清武,日豊本線,480
219,高田,長崎本線,478
220,南大分,久大本線,476
221,薩摩松元,鹿児島本線,473
222,田主丸,久大本線,473
223,柳ケ浦,日豊本線,471
224,筑前大分,篠栗線,468
225,浜崎,筑肥線,464
226,喜入,指宿枕崎線,461
227,肥前麓,長崎本線,460
228,日出,日豊本線,456
229,鍋島,長崎本線,446
230,田野,日豊本線,445
231,田川伊田,日田彦山線,442
232,日宇,佐世保線,421
233,賀来,久大本線,421
234,宮崎神宮,日豊本線,419
235,三里木,豊肥本線,419
236,天道,筑豊本線,415
237,薩摩今和泉,指宿枕崎線,414
238,大塔,佐世保線,413
239,筑前植木,筑豊本線,410
240,錦江,日豊本線,409
241,重富,日豊本線,404
242,古国府,久大本線,403
243,西大分,日豊本線,395
244,吉野,鹿児島本線,393
245,指宿,指宿枕崎線,391
246,大神,日豊本線,387
247,西唐津,唐津線,381
248,筑後吉井,久大本線,367
249,小林,吉都線,366
250,新大牟田,九州新幹線,364
251,一貴山,筑肥線,363
252,中多久,唐津線,360
253,海ノ中道,香椎線,360
254,隈之城,鹿児島本線,349
255,福吉,筑肥線,349
256,飫肥,日南線,345
257,新水俣,九州新幹線,344
258,門川,日豊本線,344
259,西都城,日豊本線,342
260,豊後竹田,豊肥本線,341
261,石田,日田彦山線,338
262,上臼杵,日豊本線,333
263,豊後豊岡,日豊本線,329
264,南久留米,久大本線,329
265,西牟田,鹿児島本線,329
266,熊崎,日豊本線,326
267,東水巻,筑豊本線,324
268,宮崎空港,宮崎空港線,321
269,宇佐,日豊本線,320
270,二月田,指宿枕崎線,318
271,雁ノ巣,香椎線,313
272,五位野,指宿枕崎線,312
273,三間坂,佐世保線,308
274,滝尾,豊肥本線,307
275,由布院,久大本線,301
276,小野屋,久大本線,299
277,木葉,鹿児島本線,295
278,和多田,筑肥線,293
279,市来,鹿児島本線,293
280,筑前垣生,筑豊本線,291
281,新玉名,九州新幹線,287
282,新入,筑豊本線,285
283,南荒尾,鹿児島本線,284
284,都農,日豊本線,279
285,鯰田,筑豊本線,279
286,肥前古賀,長崎本線,277
287,木花,日南線,268
288,大野下,鹿児島本線,266
289,東市来,鹿児島本線,265
290,奥洞海,筑豊本線,265
291,湯之元,鹿児島本線,265
292,豊後国分,久大本線,263
293,幸崎,日豊本線,260
294,吉富,日豊本線,257
295,日向新富,日豊本線,256
296,犬飼,豊肥本線,256
297,山本,唐津線,254
298,三角,三角線,252
299,多久,唐津線,252
300,川南,日豊本線,249
