順位,駅名,線名,乗車人員
1,博多,鹿児島本線,"93,823"
2,小倉,鹿児島本線,"27,129"
3,鹿児島中央,鹿児島本線,"14,895"
4,大分,日豊本線,"13,724"
5,吉塚,鹿児島本線,"13,125"
6,折尾,鹿児島本線,"12,541"
7,黒崎,鹿児島本線,"11,938"
8,千早,鹿児島本線,"11,603"
9,熊本,鹿児島本線,"11,469"
10,香椎,鹿児島本線,"11,321"
11,福工大前,鹿児島本線,"9,757"
12,佐賀,長崎本線,"9,404"
13,南福岡,鹿児島本線,"8,457"
14,戸畑,鹿児島本線,"7,830"
15,福間,鹿児島本線,"7,646"
16,竹下,鹿児島本線,"7,441"
17,九大学研都市,筑肥線,"7,302"
18,大野城,鹿児島本線,"6,935"
19,赤間,鹿児島本線,"6,814"
20,長崎,長崎本線,"6,245"
21,九産大前,鹿児島本線,"6,090"
22,二日市,鹿児島本線,"5,910"
23,久留米,鹿児島本線,"5,824"
24,古賀,鹿児島本線,"5,674"
25,下曽根,日豊本線,"5,638"
26,鳥栖,鹿児島本線,"5,557"
27,筑前前原,筑肥線,"5,509"
28,八幡,鹿児島本線,"5,432"
29,箱崎,鹿児島本線,"5,228"
30,門司,鹿児島本線,"5,120"
31,姪浜,筑肥線,"5,083"
32,行橋,日豊本線,"4,790"
33,笹原,鹿児島本線,"4,689"
34,新宮中央,鹿児島本線,"4,576"
35,今宿,筑肥線,"4,543"
36,南小倉,日豊本線,"4,390"
37,東郷,鹿児島本線,"4,387"
38,別府,日豊本線,"4,385"
39,新水前寺,豊肥本線,"4,364"
40,西小倉,鹿児島本線,"4,313"
41,宮崎,日豊本線,"4,206"
42,周船寺,筑肥線,"4,115"
43,篠栗,篠栗線,"4,101"
44,諫早,長崎本線,"4,062"
45,城野,日豊本線,"4,018"
46,春日,鹿児島本線,"3,888"
47,門司港,鹿児島本線,"3,746"
48,柚須,篠栗線,"3,619"
49,九州工大前,鹿児島本線,"3,525"
50,新飯塚,筑豊本線,"3,399"
51,長者原,篠栗線,"3,383"
52,原田,鹿児島本線,"3,176"
53,千鳥,鹿児島本線,"3,134"
54,基山,鹿児島本線,"3,131"
55,海老津,鹿児島本線,"3,036"
56,枝光,鹿児島本線,"2,880"
57,水前寺,豊肥本線,"2,816"
58,直方,筑豊本線,"2,674"
59,谷山,指宿枕崎線,"2,640"
60,佐世保,佐世保線,"2,600"
61,下山門,筑肥線,"2,474"
62,国分,日豊本線,"2,422"
63,羽犬塚,鹿児島本線,"2,395"
64,上熊本,鹿児島本線,"2,364"
65,天拝山,鹿児島本線,"2,294"
66,浦上,長崎本線,"2,270"
67,東福間,鹿児島本線,"2,213"
68,川内,鹿児島本線,"2,170"
69,肥後大津,豊肥本線,"2,170"
70,光の森,豊肥本線,"2,156"
71,中津,日豊本線,"2,114"
72,安部山公園,日豊本線,"2,071"
