順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員
29,八 幡,鹿児島本線,"5,592",,79,玉 名,鹿児島本線,"2,085",,129,南 行 橋,日 豊 本 線,"1,226"
30,門 司,鹿児島本線,"5,362",,80,教 育 大 前,鹿児島本線,"2,071",,130,小 森 江,鹿児島本線,"1,223"
31,姪 浜,筑 肥 線,"5,349",,81,伊 集 院,鹿児島本線,"2,049",,131,南 鹿 児 島,指宿枕崎線,"1,221"
32,行 橋,日 豊 本 線,"5,120",,82,坂 之 上,指宿枕崎線,"2,042",,132,久留米大学前,久 大 本 線,"1,206"
33,別 府,日 豊 本 線,"5,042",,83,武 蔵 塚,豊 肥 本 線,"2,035",,133,荒 木,鹿児島本線,"1,169"
34,笹 原,鹿児島本線,"5,003",,84,大 在,日 豊 本 線,"1,972",,134,日 向 市,日 豊 本 線,"1,168"
35,今 宿,筑 肥 線,"4,934",,85,水 城,鹿児島本線,"1,911",,135,吉野ヶ里公園,長 崎 本 線,"1,139"
36,宮 崎,日 豊 本 線,"4,931",,86,大 村,大 村 線,"1,897",,136,ハウステンボス,大 村 線,"1,138"
37,新 宮 中 央,鹿児島本線,"4,850",,87,陣 原,鹿児島本線,"1,896",,137,宇 宿,指宿枕崎線,"1,113"
38,西 小 倉,鹿児島本線,"4,697",,88,朽 網,日 豊 本 線,"1,884",,138,都 府 楼 南,鹿児島本線,"1,106"
39,新 水 前 寺,豊 肥 本 線,"4,696",,89,唐 津,唐 津 線,"1,867",,139,平 成,豊 肥 本 線,"1,100"
40,東 郷,鹿児島本線,"4,694",,90,水 巻,鹿児島本線,"1,817",,140,坂 ノ 市,日 豊 本 線,"1,098"
41,南 小 倉,日 豊 本 線,"4,577",,91,宇 美,香 椎 線,"1,792",,141,原 水,豊 肥 本 線,"1,089"
42,諫 早,長 崎 本 線,"4,542",,92,新 八 代,鹿児島本線,"1,751",,142,筑 後 船 小 屋,鹿児島本線,"1,073"
43,周 船 寺,筑 肥 線,"4,490",,93,宇 土,鹿児島本線,"1,725",,143,南 熊 本,豊 肥 本 線,"1,060"
44,篠 栗,篠 栗 線,"4,474",,94,武 雄 温 泉,佐 世 保 線,"1,716",,144,道 ノ 尾,長 崎 本 線,"1,056"
45,門 司 港,鹿児島本線,"4,389",,95,鶴 崎,日 豊 本 線,"1,683",,145,け や き 台,鹿児島本線,"1,044"
46,春 日,鹿児島本線,"4,304",,96,別 府 大 学,日 豊 本 線,"1,666",,146,出 水,九州新幹線,"1,044"
47,城 野,日 豊 本 線,"4,213",,97,新 鳥 栖,長 崎 本 線,"1,630",,147,佐 土 原,日 豊 本 線,"1,038"
48,九 州 工 大 前,鹿児島本線,"3,872",,98,加 治 木,日 豊 本 線,"1,615",,148,奈 多,香 椎 線,"1,019"
49,新 飯 塚,筑 豊 本 線,"3,864",,99,八 代,鹿児島本線,"1,607",,149,広 木,鹿児島本線,"1,016"
50,柚 須,篠 栗 線,"3,825",,100,南 宮 崎,日 豊 本 線,"1,606",,150,小 川,鹿児島本線,"1,011"
順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員
151,日 向 住 吉,日 豊 本 線,"1,002",,201,串 木 野,鹿児島本線,661,,251,西 牟 田,鹿児島本線,404
152,江 北,長 崎 本 線,998,,202,三 重 町,豊 肥 本 線,660,,252,筑 後 吉 井,久 大 本 線,399
153,若 松,筑 豊 本 線,998,,203,椎 田,日 豊 本 線,658,,253,門 川,日 豊 本 線,392
154,本 城,筑 豊 本 線,992,,204,牧,日 豊 本 線,646,,254,石 田,日田彦山線,392
155,中 原,長 崎 本 線,987,,205,銀 水,鹿児島本線,643,,255,日 宇,佐 世 保 線,391
156,延 岡,日 豊 本 線,982,,206,佐 伯,日 豊 本 線,633,,256,薩 摩 今 和 泉,指宿枕崎線,390
157,西 諫 早,長 崎 本 線,974,,207,津 久 見,日 豊 本 線,616,,257,吉 野,鹿児島本線,390
158,姶 良,日 豊 本 線,974,,208,牛 津,長 崎 本 線,615,,258,五 位 野,指宿枕崎線,386
159,神 村 学 園 前,鹿児島本線,957,,209,肥 前 白 石,長 崎 本 線,603,,259,一 貴 山,筑 肥 線,385
160,小 城,唐 津 線,940,,210,鞍 手,筑 豊 本 線,599,,260,大 神,日 豊 本 線,384
161,竹 松,大 村 線,936,,211,久留米高校前,久 大 本 線,599,,261,福 吉,筑 肥 線,380
162,郡 元,指宿枕崎線,920,,212,長 洲,鹿児島本線,586,,262,西 唐 津,唐 津 線,378
163,敷 戸,豊 肥 本 線,907,,213,日 田,久 大 本 線,584,,263,南 久 留 米,久 大 本 線,365
164,都 城,日 豊 本 線,903,,214,加 布 里,筑 肥 線,582,,264,雁 ノ 巣,香 椎 線,364
165,香 椎 神 宮,香 椎 線,892,,215,築 城,日 豊 本 線,581,,265,鯰 田,筑 豊 本 線,364
166,荒 尾,鹿児島本線,887,,216,小 竹,筑 豊 本 線,581,,266,豊 後 豊 岡,日 豊 本 線,361
167,飯 塚,筑 豊 本 線,883,,217,三 里 木,豊 肥 本 線,579,,267,飫 肥,日 南 線,360
168,肥 前 鹿 島,長 崎 本 線,872,,218,清 武,日 豊 本 線,566,,268,隈 之 城,鹿児島本線,360
169,伊 賀,香 椎 線,871,,219,向 之 原,久 大 本 線,560,,269,木 花,日 南 線,359
170,川 尻,鹿児島本線,871,,220,臼 杵,日 豊 本 線,559,,270,小 林,吉 都 線,354
171,由 布 院,久 大 本 線,860,,221,久 保 田,長 崎 本 線,549,,271,宇 佐,日 豊 本 線,353
172,舞 松 原,香 椎 線,849,,222,新 大 村,大 村 線,548,,272,東 水 巻,筑 豊 本 線,339
173,有 佐,鹿児島本線,842,,223,天 道,筑 豊 本 線,542,,273,滝 尾,豊 肥 本 線,334
174,瀬 高,鹿児島本線,830,,224,柳 ケ 浦,日 豊 本 線,530,,274,木 葉,鹿児島本線,333
175,美 咲 が 丘,筑 肥 線,826,,225,筑 前 大 分,篠 栗 線,529,,275,筑 前 垣 生,筑 豊 本 線,332
176,暘 谷,日 豊 本 線,822,,226,高 田,長 崎 本 線,528,,276,新 入,筑 豊 本 線,331
177,西 戸 崎,香 椎 線,799,,227,田 川 伊 田,日田彦山線,526,,277,熊 崎,日 豊 本 線,331
178,酒 殿,香 椎 線,797,,228,南 大 分,久 大 本 線,523,,278,和 多 田,筑 肥 線,325
179,西 浦 上,長 崎 本 線,793,,229,浜 崎,筑 肥 線,523,,279,大 野 下,鹿児島本線,320
180,西 里,鹿児島本線,790,,230,肥 前 麓,長 崎 本 線,522,,280,奥 洞 海,筑 豊 本 線,312
181,志 井 公 園,日田彦山線,784,,231,薩 摩 松 元,鹿児島本線,519,,281,二 月 田,指宿枕崎線,311
182,筑 前 深 江,筑 肥 線,780,,232,指 宿,指宿枕崎線,511,,282,上 臼 杵,日 豊 本 線,310
183,南 延 岡,日 豊 本 線,766,,233,鍋 島,長 崎 本 線,501,,283,三 間 坂,佐 世 保 線,308
184,平 川,指宿枕崎線,761,,234,田 主 丸,久 大 本 線,499,,284,中 多 久,唐 津 線,307
185,宮 崎 空 港,宮崎空港線,760,,235,田 代,鹿児島本線,495,,285,南 荒 尾,鹿児島本線,306
186,海 ノ 中 道,香 椎 線,756,,236,宮 崎 神 宮,日 豊 本 線,491,,286,豊 後 竹 田,豊 肥 本 線,303
187,杵 築,日 豊 本 線,747,,237,新 大 牟 田,九州新幹線,488,,287,市 来,鹿児島本線,302
188,高 鍋,日 豊 本 線,734,,238,田 野,日 豊 本 線,486,,288,三 角,三 角 線,298
189,竜 田 口,豊 肥 本 線,719,,239,日 出,日 豊 本 線,484,,289,東 市 来,鹿児島本線,293
190,川 棚,大 村 線,708,,240,喜 入,指宿枕崎線,476,,290,豊 後 国 分,久 大 本 線,291
191,須 恵,香 椎 線,702,,241,大 塔,佐 世 保 線,467,,291,吉 富,日 豊 本 線,287
192,有 田,佐 世 保 線,691,,242,筑 前 植 木,筑 豊 本 線,466,,292,城戸南蔵院前,篠 栗 線,281
193,中 判 田,豊 肥 本 線,691,,243,西 大 分,日 豊 本 線,466,,293,肥 前 古 賀,長 崎 本 線,276
194,田 川 後 藤 寺,日田彦山線,685,,244,古 国 府,久 大 本 線,453,,294,多 久,唐 津 線,276
195,肥 前 旭,鹿児島本線,683,,245,錦 江,日 豊 本 線,451,,295,川 南,日 豊 本 線,274
196,植 木,鹿児島本線,683,,246,賀 来,久 大 本 線,446,,296,善 導 寺,久 大 本 線,272
197,新 田 原,日 豊 本 線,675,,247,重 富,日 豊 本 線,445,,297,都 農,日 豊 本 線,270
198,富 合,鹿児島本線,673,,248,新 水 俣,九州新幹線,438,,298,新 原,香 椎 線,269
199,東 唐 津,筑 肥 線,669,,249,西 都 城,日 豊 本 線,434,,299,小 野 屋,久 大 本 線,269
200,現 川,長 崎 本 線,669,,250,新 玉 名,九州新幹線,433,,300,財 光 寺,日 豊 本 線,267
