順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員
1,博 多,鹿児島本線,"108,383",,51,長 者 原,篠 栗 線,"3,630",,101,東 海 学 園 前,豊 肥 本 線,"1,597"
2,小 倉,鹿児島本線,"30,297",,52,原 田,鹿児島本線,"3,431",,102,小波瀬西工大前,日 豊 本 線,"1,596"
3,鹿 児 島 中 央,鹿児島本線,"17,321",,53,基 山,鹿児島本線,"3,393",,103,長 与,長 崎 本 線,"1,591"
4,大 分,日 豊 本 線,"15,427",,54,スペースワールド,鹿児島本線,"3,219",,104,上 伊 集 院,鹿児島本線,"1,551"
5,熊 本,鹿児島本線,"14,046",,55,千 鳥,鹿児島本線,"3,201",,105,喜 々 津,長 崎 本 線,"1,547"
6,吉 塚,鹿児島本線,"14,017",,56,海 老 津,鹿児島本線,"3,178",,106,桂 川,筑 豊 本 線,"1,524"
7,折 尾,鹿児島本線,"13,451",,57,佐 世 保,佐 世 保 線,"3,118",,107,隼 人,日 豊 本 線,"1,514"
8,黒 崎,鹿児島本線,"12,863",,58,水 前 寺,豊 肥 本 線,"3,103",,108,土 井,香 椎 線,"1,511"
9,千 早,鹿児島本線,"12,762",,59,谷 山,指宿枕崎線,"2,956",,109,原 町,篠 栗 線,"1,508"
10,香 椎,鹿児島本線,"12,412",,60,直 方,筑 豊 本 線,"2,922",,110,松 橋,鹿児島本線,"1,504"
11,佐 賀,長 崎 本 線,"10,619",,61,枝 光,鹿児島本線,"2,727",,111,和 白,香 椎 線,"1,499"
12,福 工 大 前,鹿児島本線,"10,458",,62,下 山 門,筑 肥 線,"2,658",,112,早 岐,佐 世 保 線,"1,495"
13,南 福 岡,鹿児島本線,"9,262",,63,羽 犬 塚,鹿児島本線,"2,594",,113,鹿 児 島,鹿児島本線,"1,491"
14,竹 下,鹿児島本線,"9,234",,64,上 熊 本,鹿児島本線,"2,565",,114,し し ぶ,鹿児島本線,"1,485"
15,九大学研都市,筑 肥 線,"8,258",,65,国 分,日 豊 本 線,"2,514",,115,高 城,日 豊 本 線,"1,476"
16,戸 畑,鹿児島本線,"8,235",,66,川 内,鹿児島本線,"2,454",,116,須 恵 中 央,香 椎 線,"1,440"
17,福 間,鹿児島本線,"8,221",,67,天 拝 山,鹿児島本線,"2,439",,117,中 間,筑 豊 本 線,"1,420"
18,長 崎,長 崎 本 線,"7,853",,68,中 津,日 豊 本 線,"2,412",,118,帖 佐,日 豊 本 線,"1,417"
19,大 野 城,鹿児島本線,"7,605",,69,肥 後 大 津,豊 肥 本 線,"2,410",,119,宇 島,日 豊 本 線,"1,410"
20,赤 間,鹿児島本線,"7,275",,70,浦 上,長 崎 本 線,"2,363",,120,神 埼,長 崎 本 線,"1,381"
21,九 産 大 前,鹿児島本線,"6,965",,71,光 の 森,豊 肥 本 線,"2,318",,121,崇 城 大 学 前,鹿児島本線,"1,377"
22,久 留 米,鹿児島本線,"6,838",,72,東 福 間,鹿児島本線,"2,311",,122,慈 眼 寺,指宿枕崎線,"1,327"
23,二 日 市,鹿児島本線,"6,629",,73,波 多 江,筑 肥 線,"2,190",,123,西 熊 本,鹿児島本線,"1,312"
24,鳥 栖,鹿児島本線,"6,030",,74,安 部 山 公 園,日 豊 本 線,"2,166",,124,門 松,篠 栗 線,"1,303"
25,古 賀,鹿児島本線,"6,008",,75,糸 島 高 校 前,筑 肥 線,"2,157",,125,二 島,筑 豊 本 線,"1,261"
26,下 曽 根,日 豊 本 線,"5,920",,76,遠 賀 川,鹿児島本線,"2,109",,126,大 分 大 学 前,豊 肥 本 線,"1,254"
27,筑 前 前 原,筑 肥 線,"5,911",,77,大 牟 田,鹿児島本線,"2,105",,127,亀 川,日 豊 本 線,"1,253"
28,箱 崎,鹿児島本線,"5,853",,78,苅 田,日 豊 本 線,"2,093",,128,弥 生 が 丘,鹿児島本線,"1,237"
