順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員
1,博 多,鹿児島本線,"93,823",,51,長 者 原,篠 栗 線,"3,383",,101,喜 々 津,長 崎 本 線,"1,473"
2,小 倉,鹿児島本線,"27,129",,52,原 田,鹿児島本線,"3,176",,102,し し ぶ,鹿児島本線,"1,470"
3,鹿 児 島 中 央,鹿児島本線,"14,895",,53,千 鳥,鹿児島本線,"3,134",,103,南 宮 崎,日 豊 本 線,"1,453"
4,大 分,日 豊 本 線,"13,724",,54,基 山,鹿児島本線,"3,131",,104,新 八 代,鹿児島本線,"1,441"
5,吉 塚,鹿児島本線,"13,125",,55,海 老 津,鹿児島本線,"3,036",,105,隼 人,日 豊 本 線,"1,429"
6,折 尾,鹿児島本線,"12,541",,56,枝 光,鹿児島本線,"2,880",,106,松 橋,鹿児島本線,"1,426"
7,黒 崎,鹿児島本線,"11,938",,57,水 前 寺,豊 肥 本 線,"2,816",,107,早 岐,佐 世 保 線,"1,417"
8,千 早,鹿児島本線,"11,603",,58,直 方,筑 豊 本 線,"2,674",,108,高 城,日 豊 本 線,"1,407"
9,熊 本,鹿児島本線,"11,469",,59,谷 山,指宿枕崎線,"2,640",,109,桂 川,筑 豊 本 線,"1,401"
10,香 椎,鹿児島本線,"11,321",,60,佐 世 保,佐 世 保 線,"2,600",,110,宇 島,日 豊 本 線,"1,398"
11,福 工 大 前,鹿児島本線,"9,757",,61,下 山 門,筑 肥 線,"2,474",,111,鹿 児 島,鹿児島本線,"1,392"
12,佐 賀,長 崎 本 線,"9,404",,62,国 分,日 豊 本 線,"2,422",,112,土 井,香 椎 線,"1,385"
13,南 福 岡,鹿児島本線,"8,457",,63,羽 犬 塚,鹿児島本線,"2,395",,113,和 白,香 椎 線,"1,384"
14,戸 畑,鹿児島本線,"7,830",,64,上 熊 本,鹿児島本線,"2,364",,114,帖 佐,日 豊 本 線,"1,369"
15,福 間,鹿児島本線,"7,646",,65,天 拝 山,鹿児島本線,"2,294",,115,中 間,筑 豊 本 線,"1,341"
16,竹 下,鹿児島本線,"7,441",,66,浦 上,長 崎 本 線,"2,270",,116,原 町,篠 栗 線,"1,334"
17,九大学研都市,筑 肥 線,"7,302",,67,東 福 間,鹿児島本線,"2,213",,117,須 恵 中 央,香 椎 線,"1,323"
18,大 野 城,鹿児島本線,"6,935",,68,川 内,鹿児島本線,"2,170",,118,神 埼,長 崎 本 線,"1,308"
19,赤 間,鹿児島本線,"6,814",,69,肥 後 大 津,豊 肥 本 線,"2,170",,119,武 雄 温 泉,佐 世 保 線,"1,264"
20,長 崎,長 崎 本 線,"6,245",,70,光 の 森,豊 肥 本 線,"2,156",,120,慈 眼 寺,指宿枕崎線,"1,261"
21,九 産 大 前,鹿児島本線,"6,090",,71,中 津,日 豊 本 線,"2,114",,121,崇 城 大 学 前,鹿児島本線,"1,241"
22,二 日 市,鹿児島本線,"5,910",,72,安 部 山 公 園,日 豊 本 線,"2,071",,122,新 鳥 栖,長 崎 本 線,"1,241"
23,久 留 米,鹿児島本線,"5,824",,73,玉 名,鹿児島本線,"2,065",,123,亀 川,日 豊 本 線,"1,240"
24,古 賀,鹿児島本線,"5,674",,74,遠 賀 川,鹿児島本線,"2,020",,124,門 松,篠 栗 線,"1,214"
25,下 曽 根,日 豊 本 線,"5,638",,75,伊 集 院,鹿児島本線,"2,008",,125,二 島,筑 豊 本 線,"1,204"
26,鳥 栖,鹿児島本線,"5,557",,76,波 多 江,筑 肥 線,"1,999",,126,小 森 江,鹿児島本線,"1,195"
27,筑 前 前 原,筑 肥 線,"5,509",,77,大 村,大 村 線,"1,927",,127,南 行 橋,日 豊 本 線,"1,192"
28,八 幡,鹿児島本線,"5,432",,78,教 育 大 前,鹿児島本線,"1,916",,128,西 熊 本,鹿児島本線,"1,191"
29,箱 崎,鹿児島本線,"5,228",,79,武 蔵 塚,豊 肥 本 線,"1,913",,129,南 鹿 児 島,指宿枕崎線,"1,174"
30,門 司,鹿児島本線,"5,120",,80,大 牟 田,鹿児島本線,"1,911",,130,荒 木,鹿児島本線,"1,127"
31,姪 浜,筑 肥 線,"5,083",,81,苅 田,日 豊 本 線,"1,906",,131,弥 生 が 丘,鹿児島本線,"1,108"
32,行 橋,日 豊 本 線,"4,790",,82,陣 原,鹿児島本線,"1,864",,132,吉野ヶ里公園,長 崎 本 線,"1,090"
33,笹 原,鹿児島本線,"4,689",,83,坂 之 上,指宿枕崎線,"1,843",,133,久留米大学前,久 大 本 線,"1,088"
34,新 宮 中 央,鹿児島本線,"4,576",,84,朽 網,日 豊 本 線,"1,838",,134,日 向 市,日 豊 本 線,"1,079"
35,今 宿,筑 肥 線,"4,543",,85,糸 島 高 校 前,筑 肥 線,"1,820",,135,坂 ノ 市,日 豊 本 線,"1,046"
36,南 小 倉,日 豊 本 線,"4,390",,86,大 在,日 豊 本 線,"1,789",,136,都 府 楼 南,鹿児島本線,"1,035"
37,東 郷,鹿児島本線,"4,387",,87,スペースワールド,鹿児島本線,"1,786",,137,大 分 大 学 前,豊 肥 本 線,"1,031"
38,別 府,日 豊 本 線,"4,385",,88,水 城,鹿児島本線,"1,724",,138,け や き 台,鹿児島本線,"1,009"
39,新 水 前 寺,豊 肥 本 線,"4,364",,89,唐 津,唐 津 線,"1,663",,139,宇 宿,指宿枕崎線,"1,003"
40,西 小 倉,鹿児島本線,"4,313",,90,水 巻,鹿児島本線,"1,662",,140,平 成,豊 肥 本 線,998
41,宮 崎,日 豊 本 線,"4,206",,91,宇 美,香 椎 線,"1,649",,141,道 ノ 尾,長 崎 本 線,984
42,周 船 寺,筑 肥 線,"4,115",,92,宇 土,鹿児島本線,"1,612",,142,竹 松,大 村 線,978
43,篠 栗,篠 栗 線,"4,101",,93,加 治 木,日 豊 本 線,"1,604",,143,中 原,長 崎 本 線,977
44,諫 早,長 崎 本 線,"4,062",,94,小波瀬西工大前,日 豊 本 線,"1,541",,144,南 熊 本,豊 肥 本 線,973
45,城 野,日 豊 本 線,"4,018",,95,鶴 崎,日 豊 本 線,"1,540",,145,小 川,鹿児島本線,965
46,春 日,鹿児島本線,"3,888",,96,八 代,鹿児島本線,"1,533",,146,佐 土 原,日 豊 本 線,944
47,門 司 港,鹿児島本線,"3,746",,97,長 与,長 崎 本 線,"1,522",,147,若 松,筑 豊 本 線,942
48,柚 須,篠 栗 線,"3,619",,98,別 府 大 学,日 豊 本 線,"1,511",,148,西 諫 早,長 崎 本 線,929
49,九 州 工 大 前,鹿児島本線,"3,525",,99,上 伊 集 院,鹿児島本線,"1,487",,149,小 城,唐 津 線,924
50,新 飯 塚,筑 豊 本 線,"3,399",,100,東 海 学 園 前,豊 肥 本 線,"1,479",,150,奈 多,香 椎 線,922
順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員
151,姶 良,日 豊 本 線,918,,201,肥 前 旭,鹿児島本線,617,,251,西 都 城,日 豊 本 線,382
152,広 木,鹿児島本線,916,,202,牧,日 豊 本 線,617,,252,西 唐 津,唐 津 線,380
153,本 城,筑 豊 本 線,915,,203,肥 前 白 石,長 崎 本 線,611,,253,門 川,日 豊 本 線,368
154,神 村 学 園 前,鹿児島本線,899,,204,銀 水,鹿児島本線,605,,254,新 水 俣,九州新幹線,368
155,出 水,九州新幹線,889,,205,富 合,鹿児島本線,592,,255,日 宇,佐 世 保 線,366
156,郡 元,指宿枕崎線,886,,206,久留米高校前,久 大 本 線,581,,256,南 久 留 米,久 大 本 線,365
157,筑 後 船 小 屋,鹿児島本線,882,,207,佐 伯,日 豊 本 線,576,,257,一 貴 山,筑 肥 線,365
158,原 水,豊 肥 本 線,878,,208,小 竹,筑 豊 本 線,567,,258,福 吉,筑 肥 線,365
159,肥 前 山 口,長 崎 本 線,858,,209,鞍 手,筑 豊 本 線,562,,259,石 田,日田彦山線,364
160,敷 戸,豊 肥 本 線,851,,210,長 洲,鹿児島本線,556,,260,中 多 久,唐 津 線,354
161,香 椎 神 宮,香 椎 線,837,,211,向 之 原,久 大 本 線,551,,261,西 牟 田,鹿児島本線,347
162,荒 尾,鹿児島本線,835,,212,築 城,日 豊 本 線,546,,262,五 位 野,指宿枕崎線,344
163,日 向 住 吉,日 豊 本 線,832,,213,加 布 里,筑 肥 線,542,,263,小 林,吉 都 線,344
164,延 岡,日 豊 本 線,828,,214,臼 杵,日 豊 本 線,538,,264,隈 之 城,鹿児島本線,341
165,肥 前 鹿 島,長 崎 本 線,826,,215,日 田,久 大 本 線,528,,265,豊 後 豊 岡,日 豊 本 線,331
166,川 尻,鹿児島本線,826,,216,田 主 丸,久 大 本 線,526,,266,飫 肥,日 南 線,326
