順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員,,順位,駅名,線名,乗車人員
167,伊 賀,香 椎 線,824,,217,清 武,日 豊 本 線,521,,267,東 水 巻,筑 豊 本 線,326
168,美 咲 が 丘,筑 肥 線,822,,218,高 田,長 崎 本 線,502,,268,熊 崎,日 豊 本 線,325
169,ハウステンボス,大 村 線,821,,219,田 川 伊 田,日田彦山線,491,,269,雁 ノ 巣,香 椎 線,325
170,飯 塚,筑 豊 本 線,805,,220,柳 ケ 浦,日 豊 本 線,491,,270,木 葉,鹿児島本線,322
171,都 城,日 豊 本 線,799,,221,久 保 田,長 崎 本 線,491,,271,宇 佐,日 豊 本 線,320
172,舞 松 原,香 椎 線,798,,222,南 大 分,久 大 本 線,490,,272,鯰 田,筑 豊 本 線,319
173,瀬 高,鹿児島本線,790,,223,田 代,鹿児島本線,486,,273,新 玉 名,九州新幹線,318
174,平 川,指宿枕崎線,781,,224,筑 前 大 分,篠 栗 線,482,,274,滝 尾,豊 肥 本 線,316
175,有 佐,鹿児島本線,780,,225,三 里 木,豊 肥 本 線,481,,275,奥 洞 海,筑 豊 本 線,309
176,暘 谷,日 豊 本 線,770,,226,薩 摩 松 元,鹿児島本線,477,,276,新 入,筑 豊 本 線,309
177,志 井 公 園,日田彦山線,764,,227,浜 崎,筑 肥 線,474,,277,筑 前 垣 生,筑 豊 本 線,307
178,西 浦 上,長 崎 本 線,740,,228,日 出,日 豊 本 線,474,,278,二 月 田,指宿枕崎線,305
179,南 延 岡,日 豊 本 線,736,,229,肥 前 麓,長 崎 本 線,466,,279,市 来,鹿児島本線,298
180,西 里,鹿児島本線,724,,230,天 道,筑 豊 本 線,459,,280,豊 後 竹 田,豊 肥 本 線,297
181,筑 前 深 江,筑 肥 線,719,,231,喜 入,指宿枕崎線,458,,281,上 臼 杵,日 豊 本 線,297
182,高 鍋,日 豊 本 線,712,,232,宮 崎 空 港,宮崎空港線,458,,282,南 荒 尾,鹿児島本線,297
183,川 棚,大 村 線,704,,233,海 ノ 中 道,香 椎 線,446,,283,木 花,日 南 線,292
184,西 戸 崎,香 椎 線,691,,234,宮 崎 神 宮,日 豊 本 線,443,,284,三 間 坂,佐 世 保 線,289
185,中 判 田,豊 肥 本 線,687,,235,筑 前 植 木,筑 豊 本 線,442,,285,和 多 田,筑 肥 線,289
186,杵 築,日 豊 本 線,683,,236,田 野,日 豊 本 線,440,,286,小 野 屋,久 大 本 線,287
187,三 重 町,豊 肥 本 線,681,,237,鍋 島,長 崎 本 線,436,,287,大 野 下,鹿児島本線,285
188,新 田 原,日 豊 本 線,678,,238,由 布 院,久 大 本 線,433,,288,都 農,日 豊 本 線,272
189,酒 殿,香 椎 線,662,,239,錦 江,日 豊 本 線,432,,289,豊 後 国 分,久 大 本 線,271
190,串 木 野,鹿児島本線,659,,240,重 富,日 豊 本 線,431,,290,東 市 来,鹿児島本線,270
191,現 川,長 崎 本 線,654,,241,古 国 府,久 大 本 線,422,,291,吉 富,日 豊 本 線,268
192,津 久 見,日 豊 本 線,652,,242,西 大 分,日 豊 本 線,420,,292,川 南,日 豊 本 線,264
193,有 田,佐 世 保 線,645,,243,賀 来,久 大 本 線,416,,293,肥 前 古 賀,長 崎 本 線,261
194,田 川 後 藤 寺,日田彦山線,639,,244,大 塔,佐 世 保 線,416,,294,三 角,三 角 線,257
195,東 唐 津,筑 肥 線,634,,245,指 宿,指宿枕崎線,412,,295,犬 飼,豊 肥 本 線,256
196,椎 田,日 豊 本 線,628,,246,吉 野,鹿児島本線,401,,296,善 導 寺,久 大 本 線,255
197,植 木,鹿児島本線,627,,247,薩 摩 今 和 泉,指宿枕崎線,400,,297,新 原,香 椎 線,253
198,竜 田 口,豊 肥 本 線,627,,248,筑 後 吉 井,久 大 本 線,398,,298,山 本,唐 津 線,249
199,牛 津,長 崎 本 線,621,,249,大 神,日 豊 本 線,394,,299,財 光 寺,日 豊 本 線,246
200,須 恵,香 椎 線,618,,250,新 大 牟 田,九州新幹線,389,,300,一 本 松,日田彦山線,246
