順位,駅名,線名,乗車人員
163,美咲が丘,筑肥線,"1,032"
164,由布院,久大本線,"1,025"
165,荒尾,鹿児島本線,"1,023"
166,香椎神宮,香椎線,"1,020"
167,舞松原,香椎線,"1,018"
168,姶良,日豊本線,"1,003"
169,原水,豊肥本線,"1,001"
170,広木,鹿児島本線,993
171,神村学園前,鹿児島本線,972
172,川尻,鹿児島本線,951
173,平川,指宿枕崎線,936
174,有佐,鹿児島本線,929
175,宮崎空港,宮崎空港線,928
176,西里,鹿児島本線,922
177,西戸崎,香椎線,920
178,西浦上,長崎本線,907
179,日向住吉,日豊本線,886
180,筑前深江,筑肥線,883
181,川棚,大村線,878
182,新田原,日豊本線,874
183,暘谷,日豊本線,867
184,志井公園,日田彦山線,860
185,東唐津,筑肥線,850
186,串木野,鹿児島本線,844
187,中判田,豊肥本線,842
188,有田,佐世保線,838
189,南延岡,日豊本線,833
190,三重町,豊肥本線,832
191,椎田,日豊本線,826
192,田川後藤寺,日田彦山線,826
193,伊賀,香椎線,825
194,津久見,日豊本線,819
195,杵築,日豊本線,815
196,高鍋,日豊本線,789
197,海ノ中道,香椎線,781
198,牛津,長崎本線,758
199,築城,日豊本線,743
200,肥前旭,鹿児島本線,740
201,竜田口,豊肥本線,732
202,牧,日豊本線,728
203,佐伯,日豊本線,728
204,長洲,鹿児島本線,720
205,現川,長崎本線,719
206,肥前白石,長崎本線,699
207,植木,鹿児島本線,698
208,須恵,香椎線,695
209,小竹,筑豊本線,692
210,筑前大分,篠栗線,678
211,鞍手,筑豊本線,677
212,指宿,指宿枕崎線,676
213,臼杵,日豊本線,674
214,酒殿,香椎線,673
215,久留米高校前,久大本線,665
216,加布里,筑肥線,664
217,日田,久大本線,651
218,向之原,久大本線,645
219,田川伊田,日田彦山線,643
220,久保田,長崎本線,638
221,銀水,鹿児島本線,623
222,清武,日豊本線,620
223,富合,鹿児島本線,615
224,浜崎,筑肥線,612
225,新大牟田,九州新幹線,608
226,柳ケ浦,日豊本線,606
227,新玉名,九州新幹線,602
228,田主丸,久大本線,592
229,田代,鹿児島本線,582
230,三里木,豊肥本線,580
231,薩摩松元,鹿児島本線,579
232,喜入,指宿枕崎線,577
233,天道,筑豊本線,566
234,鍋島,長崎本線,565
235,賀来,久大本線,547
236,肥前麓,長崎本線,547
237,筑前植木,筑豊本線,547
238,南大分,久大本線,540
239,高田,長崎本線,538
240,新水俣,九州新幹線,537
241,宮崎神宮,日豊本線,530
242,日出,日豊本線,509
243,大塔,佐世保線,504
244,西唐津,唐津線,503
245,錦江,日豊本線,503
246,吉野,鹿児島本線,501
247,重富,日豊本線,493
248,田野,日豊本線,493
249,筑後吉井,久大本線,493
250,古国府,久大本線,482
251,西大分,日豊本線,480
252,一貴山,筑肥線,460
253,薩摩今和泉,指宿枕崎線,446
254,大神,日豊本線,431
255,宇佐,日豊本線,427
256,南久留米,久大本線,426
257,福吉,筑肥線,426
258,日宇,佐世保線,419
259,西都城,日豊本線,417
260,石田,日田彦山線,410
261,西牟田,鹿児島本線,409
262,東水巻,筑豊本線,408
263,中多久,唐津線,402
264,雁ノ巣,香椎線,401
265,門川,日豊本線,395
266,小林,吉都線,393
267,筑前垣生,筑豊本線,392
268,三角,三角線,390
269,和多田,筑肥線,388
270,木葉,鹿児島本線,385
271,滝尾,豊肥本線,376
272,隈之城,鹿児島本線,374
273,豊後豊岡,日豊本線,374
274,飫肥,日南線,373
275,上臼杵,日豊本線,371
276,豊後竹田,豊肥本線,371
277,新入,筑豊本線,370
278,木花,日南線,367
279,熊崎,日豊本線,363
280,南荒尾,鹿児島本線,361
281,鯰田,筑豊本線,361
282,湯之元,鹿児島本線,359
283,三間坂,佐世保線,358
284,大野下,鹿児島本線,357
285,吉富,日豊本線,355
286,二月田,指宿枕崎線,346
287,肥前古賀,長崎本線,345
288,都農,日豊本線,345
289,五位野,指宿枕崎線,343
290,東市来,鹿児島本線,341
291,小野屋,久大本線,340
292,多久,唐津線,339
293,豊後国分,久大本線,336
294,奥洞海,若松線,335
295,市来,鹿児島本線,335
296,一本松,日田彦山線,317
297,幸崎,日豊本線,306
298,彼杵,大村線,305
299,山本,唐津線,304
300,城戸南蔵院前,篠栗線,303
